"","fam_log","family_members_no","age","marital_status","house_damage","abroad","district","pa_name_self","start_reconstruct","consult_knowledge","pa_name","visit_office","self_visit"
"1",1.6094379124341,5,34,1,1,0,"Lalitpur",0,1,0,0,0,NA
"2",2.19722457733622,9,58,1,2,1,"Makawanpur",1,1,1,2,1,1
"3",1.38629436111989,4,27,1,2,0,"Kathmandu",0,1,1,0,1,1
"4",1.79175946922805,6,24,1,2,0,"Kathmandu",0,0,0,1,0,NA
"5",1.38629436111989,4,32,1,2,0,"Sindhuli",0,1,0,0,1,0
"6",1.09861228866811,3,24,1,1,0,"Kathmandu",0,0,0,1,0,NA
"7",1.38629436111989,4,35,1,0,0,"Ramechhap",0,1,1,0,1,0
"8",1.94591014905531,7,19,1,1,0,"Gorkha",0,1,1,0,1,0
"9",1.38629436111989,4,45,1,2,0,"Nuwakot",0,1,0,0,1,0
"10",1.6094379124341,5,30,1,1,0,"Lalitpur",0,1,1,0,1,0
"11",1.38629436111989,4,41,1,1,1,"Sindhupalchowk",1,1,1,2,1,1
"12",1.6094379124341,5,55,1,2,1,"Ramechhap",0,1,1,0,1,0
"13",1.94591014905531,7,27,1,2,0,"Okhaldhunga",0,1,0,0,1,0
"14",0,1,62,0,2,0,"Sindhupalchowk",1,1,1,2,1,1
"15",1.38629436111989,4,32,1,2,1,"Kavrepalanchok",1,0,0,2,0,NA
"16",1.6094379124341,5,33,1,1,0,"Nuwakot",0,1,0,1,0,NA
"17",1.38629436111989,4,23,1,2,0,"Ramechhap",0,0,0,0,NA,NA
"18",1.38629436111989,4,40,1,2,0,"Sindhuli",1,1,1,2,1,1
"19",0,1,73,0,1,0,"Bhaktapur",1,0,0,2,0,NA
"20",1.09861228866811,3,35,1,2,0,"Kathmandu",1,1,1,2,0,NA
"21",1.38629436111989,4,26,1,0,0,"Kathmandu",1,1,0,2,0,NA
"22",1.38629436111989,4,32,1,0,0,"Ramechhap",NA,0,1,NA,0,NA
"23",1.38629436111989,4,30,1,1,1,"Nuwakot",1,1,1,2,1,1
"24",1.94591014905531,7,40,1,2,0,"Nuwakot",0,1,0,0,0,NA
"25",1.38629436111989,4,22,1,1,1,"Nuwakot",0,1,0,0,1,1
"26",1.38629436111989,4,33,1,2,0,"Sindhuli",0,1,0,0,1,0
"27",1.6094379124341,5,29,1,2,0,"Sindhuli",0,1,1,0,0,NA
"28",1.94591014905531,7,30,1,0,0,"Bhaktapur",0,1,1,1,0,NA
"29",1.94591014905531,7,40,1,1,0,"Kathmandu",0,0,0,0,0,NA
"30",1.6094379124341,5,35,1,2,0,"Sindhuli",0,1,1,0,1,0
"31",1.79175946922805,6,23,1,2,0,"Sindhuli",0,0,0,1,1,0
"32",1.6094379124341,5,25,1,2,0,"Ramechhap",0,1,1,0,1,0
"33",1.38629436111989,4,32,1,2,0,"Nuwakot",0,0,1,0,1,0
"34",1.38629436111989,4,30,1,2,0,"Sindhuli",0,1,1,0,1,0
"35",1.38629436111989,4,35,1,2,0,"Nuwakot",0,1,1,0,1,1
"36",1.09861228866811,3,21,1,2,0,"Kathmandu",0,1,1,0,NA,NA
"37",1.38629436111989,4,42,1,1,1,"Dolakha",1,1,1,2,1,1
"38",1.38629436111989,4,41,1,2,0,"Makawanpur",0,1,1,0,1,0
"39",1.94591014905531,7,49,1,2,0,"Ramechhap",0,1,1,0,1,0
"40",1.38629436111989,4,28,1,1,0,"Nuwakot",0,1,1,0,1,0
"41",1.6094379124341,5,50,1,1,0,"Bhaktapur",NA,0,0,NA,0,NA
"42",1.6094379124341,5,33,1,2,1,"Nuwakot",0,1,0,0,1,1
"43",1.38629436111989,4,37,1,2,1,"Dhading",0,1,1,0,0,NA
"44",2.39789527279837,11,56,1,2,1,"Makawanpur",0,1,1,0,0,NA
"45",0,1,65,0,2,0,"Okhaldhunga",1,1,0,2,1,1
"46",1.38629436111989,4,32,1,2,1,"Kathmandu",NA,0,1,NA,0,NA
"47",1.38629436111989,4,31,1,2,1,"Rasuwa",0,1,1,0,1,1
"48",2.30258509299405,10,42,1,0,1,"Okhaldhunga",NA,0,1,NA,0,NA
"49",1.6094379124341,5,48,1,0,0,"Lalitpur",0,1,0,0,0,NA
"50",1.6094379124341,5,49,1,1,0,"Bhaktapur",0,0,0,0,0,NA
"51",1.38629436111989,4,63,0,1,0,"Kathmandu",0,0,1,0,0,NA
"52",1.38629436111989,4,45,1,2,0,"Rasuwa",0,1,1,0,1,0
"53",1.6094379124341,5,55,0,2,0,"Rasuwa",1,1,1,2,0,NA
"54",0.693147180559945,2,87,1,2,0,"Bhaktapur",0,0,0,0,0,NA
"55",1.6094379124341,5,40,0,1,0,"Rasuwa",1,1,1,2,1,1
"56",1.38629436111989,4,38,1,1,1,"Dolakha",1,1,1,2,1,1
"57",1.6094379124341,5,75,0,2,0,"Kathmandu",1,0,0,2,1,1
"58",0.693147180559945,2,36,1,2,0,"Rasuwa",0,1,1,1,1,1
"59",1.6094379124341,5,30,1,2,0,"Rasuwa",1,1,1,2,1,1
"60",1.94591014905531,7,36,1,2,0,"Nuwakot",0,1,1,0,1,0
"61",2.19722457733622,9,28,1,2,1,"Dhading",0,1,1,1,1,0
"62",1.6094379124341,5,36,1,1,0,"Bhaktapur",0,0,1,0,0,NA
"63",1.38629436111989,4,35,1,1,1,"Dolakha",1,1,1,2,1,1
"64",1.09861228866811,3,38,1,2,1,"Dolakha",1,1,1,2,1,1
"65",1.6094379124341,5,35,1,2,0,"Dhading",0,1,1,0,1,0
"66",2.484906649788,12,35,1,2,0,"Nuwakot",0,1,0,1,0,NA
"67",1.09861228866811,3,34,1,2,0,"Dolakha",0,1,1,0,1,0
"68",1.38629436111989,4,47,1,1,1,"Bhaktapur",NA,0,1,NA,0,NA
